OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,Longitude,Latitude
226,0.168957762041,0.00076194414504,Sunnyside,226,Queens,-73.90989961,40.7490873
227,0.0828301570789,0.000268316529534,Sunset Park East,227,Brooklyn,-73.99192812,40.6422049
228,0.177685177706,0.000993414783816,Sunset Park West,228,Brooklyn,-73.99691791,40.6691535
229,0.0425252900116,0.000094705823093,Sutton Place/Turtle Bay North,229,Manhattan,-73.96162928,40.7551524
230,0.0310283096779,0.000056091446327,Times Sq/Theatre District,230,Manhattan,-73.98362433,40.7555163
231,0.0634201165587,0.000166929752992,TriBeCa/Civic Center,231,Manhattan,-74.0093176,40.7247016
232,0.0614709085331,0.000216049973456,Two Bridges/Seward Park,232,Manhattan,-73.97635525,40.7191329
233,0.048035918294,0.000116188094682,UN/Turtle Bay South,233,Manhattan,-73.96547092,40.7519396
234,0.0360721994984,0.000073105438289,Union Sq,234,Manhattan,-73.98996936,40.7349046
235,0.0761668426519,0.000212844547337,University Heights/Morris Heights,235,Bronx,-73.90947863,40.8618081
236,0.0442519223099,0.000102864345211,Upper East Side North,236,Manhattan,-73.9577938,40.7735999
237,0.0422126003388,0.000095987320662,Upper East Side South,237,Manhattan,-73.96612747,40.7621793
238,0.0601093114033,0.000184763693765,Upper West Side North,238,Manhattan,-73.96884379,40.7859674
239,0.0636261152958,0.000204715440774,Upper West Side South,239,Manhattan,-73.97501417,40.7876856
240,0.146069764379,0.000722130920707,Van Cortlandt Park,240,Bronx,-73.87643743,40.8968706
241,0.0687645777649,0.00025467697592,Van Cortlandt Village,241,Bronx,-73.88840157,40.8844171
242,0.138136446433,0.000360072450014,Van Nest/Morris Park,242,Bronx,-73.83593362,40.8484064
243,0.0943314999364,0.000438377341503,Washington Heights North,243,Manhattan,-73.93156537,40.8695822
244,0.0805686044599,0.000359702747951,Washington Heights South,244,Manhattan,-73.94068822,40.8513154
245,0.0959830596604,0.000466175414294,West Brighton,245,Staten Island,-74.09787969,40.6403581
246,0.0694671937437,0.000281298327076,West Chelsea/Hudson Yards,246,Manhattan,-74.00439976,40.7626714
247,0.0929678582271,0.000205617157843,West Concourse,247,Bronx,-73.9122218,40.8423566
248,0.0569191167671,0.000149592769799,West Farms/Bronx River,248,Bronx,-73.86393748,40.8400446
249,0.03638434365,0.000072215595773,West Village,249,Manhattan,-74.00250642,40.7290164
250,0.0796263465454,0.000240975845956,Westchester Village/Unionport,250,Bronx,-73.84553089,40.8391733
251,0.1377111611,0.000625754983157,Westerleigh,251,Staten Island,-74.1310746,40.6311477
252,0.158004373564,0.00102526406057,Whitestone,252,Queens,-73.8204992,40.8010115
253,0.0360514998192,0.000078339576119,Willets Point,253,Queens,-73.83908354,40.7652569
254,0.0858863754861,0.000360040216032,Williamsbridge/Olinville,254,Bronx,-73.85186564,40.8790589
255,0.0623841997664,0.000172309184842,Williamsburg (North Side),255,Brooklyn,-73.9617607,40.7252288
256,0.0679149669603,0.000168611097013,Williamsburg (South Side),256,Brooklyn,-73.95834208,40.7133063
257,0.0586690259793,0.00013890947321,Windsor Terrace,257,Brooklyn,-73.97984262,40.6607274
258,0.0890133787693,0.000366209617143,Woodhaven,258,Queens,-73.84504195,40.6893189
259,0.126750305191,0.000394552487366,Woodlawn/Wakefield,259,Bronx,-73.85107116,40.9103715
260,0.133514154636,0.000422345326907,Woodside,260,Queens,-73.90175373,40.7607755
261,0.0271204563616,0.000034342323165,World Trade Center,261,Manhattan,-74.01332611,40.7050308
262,0.0490636231541,0.000122330270966,Yorkville East,262,Manhattan,-73.94383257,40.7828591
263,0.0370166252994,0.000065769766417,Yorkville West,263,Manhattan,-73.95218622,40.7730198
